year,activity_rate_15_64,bond_yield_10y,capital_stock_bn_eur2020,current_account_pct_gdp,employment_rate_20_64,employment_ths_persons,exports_pct_gdp,fertility_rate,gdp_deflator_growth,gdp_growth,gdp_nominal_bn_eur,gdp_pc_nominal_eur,gdp_pc_ppp_usd,gdp_pc_pps,gdp_pc_real_eur2015,gdp_real_bn_eur2015,gg_balance_pct_gdp,gg_expenditure_pct_gdp,gg_interest_pct_gdp,gg_revenue_pct_gdp,hicp_inflation,hours_worked_mn,household_debt_pct_gdp,household_saving_rate,investment_growth,investment_pct_gdp,labour_productivity_per_hour_idx,median_age,natural_change_ths,nawru,net_migration_ths,nfc_debt_pct_gdp,niip_pct_gdp,old_age_dependency,output_gap,population_mn,potential_gdp_bn_eur2020,potential_growth,primary_balance_pct_gdp,private_debt_pct_gdp,public_debt_pct_gdp,reer_cpi_ic42,reer_ulc_ea20,tfp_growth,tfp_idx_2020,tfp_solow_idx_2020,ulc_growth,unemployment_rate
1990,,,,,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,,,,,,,1.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,,,,,,,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,,,,,,,,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,,,,,,,,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,60.1,16.96,625.5727,-2.4,,4152.51,14.37,1.28,,,103.2064,9770.0,16630.593,12743.5,14290.0,150.9567,-9.9,46.6,10.8,36.8,,8984.63,5.7,15.68,,20.97,84.539,37.1,1.337,8.161,51.022,30.5,,22.7,0.7572,10.536,148.8624,,0.9,36.2,100.4,103.4118,85.1501,,92.4712,92.471,,10.0
1996,61.0,14.43,636.1968,-3.6,,4132.13,14.31,1.26,8.2,1.38,112.2623,10580.0,17084.307,13368.8,14430.0,153.0437,-8.4,46.1,10.5,37.8,7.9,8930.7,6.6,14.6,9.39,22.11,86.225,37.4,-0.022,8.298,40.957,30.5,,23.3,-0.1954,10.5883,152.3609,2.35,2.1,37.1,103.7,106.255,88.5646,1.18,93.5641,93.564,7.6,10.3
1997,60.8,9.92,646.9214,-3.8,,4120.75,16.37,1.27,6.6,3.6,122.4778,11490.0,17935.702,13913.7,14870.0,158.5577,-6.2,45.1,8.6,38.8,5.4,8891.189,8.3,10.37,3.08,21.59,89.728,37.7,2.3,8.401,61.683,31.1,,23.9,0.5047,10.6293,156.7507,2.88,2.4,39.4,102.6,104.8754,96.2973,3.3,96.6477,96.648,9.3,10.3
1998,63.0,8.48,662.0082,-2.7,,4298.7,16.49,1.24,5.3,3.44,124.7544,11640.0,18648.41,14505.1,15300.0,164.0072,-6.5,46.7,8.0,40.2,4.5,9272.884,9.3,9.08,17.9,24.51,88.992,37.9,-1.774,8.551,56.292,33.6,,24.4,0.8683,10.6933,161.5536,3.06,1.5,42.9,100.8,103.3935,96.9786,-0.16,96.4933,96.493,6.9,11.2
1999,63.7,6.3,678.4092,-3.7,,4308.05,19.42,1.23,3.5,2.66,134.5888,12510.0,19316.648,14840.6,15650.0,168.3678,-6.0,48.0,7.9,42.0,2.1,9270.34,10.9,9.99,7.01,25.39,91.383,38.2,-2.661,8.747,30.52,35.8,,24.9,-0.0534,10.7478,167.3785,3.61,1.9,46.7,102.8,105.5579,100.8477,1.8,98.2316,98.232,3.8,12.1
2000,63.9,6.1,695.3414,-6.1,,4324.32,24.01,1.25,1.6,4.14,137.8276,12750.0,20518.416,15631.4,16230.0,175.3346,-4.2,48.2,7.1,43.9,2.9,9299.219,13.6,9.3,4.79,25.94,94.869,38.5,-1.952,8.781,62.314,42.3,,25.5,-0.3582,10.7756,174.8374,4.46,2.9,55.9,108.9,97.2055,97.7873,3.03,101.2125,101.213,1.2,11.4
2001,63.3,5.3,712.3773,-7.1,,4334.45,23.16,1.25,3.5,4.65,147.4387,13570.0,21833.789,16808.7,16890.0,183.4883,-5.6,47.5,6.5,41.8,3.6,9284.608,17.4,7.35,3.93,25.6,99.437,38.7,-0.277,8.894,52.562,45.5,,26.2,-0.3806,10.836,183.0093,4.67,0.9,62.9,110.5,97.4031,95.645,3.87,105.1332,105.133,1.2,10.8
2002,64.1,5.12,727.0296,-6.4,,4440.87,20.38,1.28,3.0,4.68,158.9023,14580.0,23100.023,18024.6,17620.0,192.0814,-6.2,47.1,5.7,40.9,3.9,9465.217,21.3,8.73,-2.47,23.88,102.107,38.3,-0.346,9.019,27.842,45.3,,26.1,-0.3737,10.8883,191.5666,4.68,-0.5,66.6,107.9,99.9128,100.4887,2.65,107.9154,107.915,7.8,10.4
2003,64.9,4.27,745.1732,-6.5,,4491.12,18.87,1.29,3.6,5.8,174.096,15930.0,24858.798,19096.0,18600.0,203.216,-8.0,47.9,5.0,39.8,3.4,9564.337,24.7,10.59,11.76,24.88,106.907,38.6,-1.109,9.056,25.708,46.0,-61.2,26.6,0.0425,10.9158,201.8283,5.36,-3.0,70.7,104.3,106.0709,101.6371,4.18,112.4264,112.426,3.1,9.8
2004,66.3,4.26,765.4866,-5.7,,4606.83,20.61,1.31,3.0,5.38,188.9052,17240.0,26839.562,20287.2,19550.0,214.1446,-9.1,48.8,4.9,39.8,3.0,9735.132,29.7,10.7,7.61,25.04,110.68,38.9,0.713,9.269,28.83,46.1,-68.6,27.1,0.8013,10.9404,211.0813,4.58,-4.2,75.8,105.5,107.5529,101.8019,3.2,116.0201,116.02,1.4,10.6
2005,66.4,3.59,778.6619,-7.5,,4652.09,20.99,1.34,1.9,1.18,194.7734,17730.0,27933.371,20481.1,19720.0,216.6791,-6.3,46.6,4.8,40.3,3.5,10071.111,36.9,6.78,-12.02,21.36,108.253,39.2,2.454,9.32,32.35,51.1,-77.4,27.4,-1.0639,10.9699,217.606,3.09,-1.5,88.0,109.9,106.3237,107.9413,-1.61,114.1486,114.149,7.3,10.0
2006,66.7,4.07,798.6234,-11.0,,4742.95,20.77,1.4,3.4,6.44,214.2989,19450.0,30553.239,22327.0,20930.0,230.6406,-6.0,45.9,4.5,39.8,3.3,10190.83,41.7,10.42,18.7,24.06,113.875,39.5,6.566,9.372,24.726,52.9,-84.0,27.7,1.8809,11.0047,224.9322,3.37,-1.5,94.6,105.3,106.3111,107.3416,4.7,119.5105,119.511,-0.1,9.0
2007,66.5,4.5,822.7947,-14.1,,4806.73,21.75,1.41,3.4,3.51,229.2828,20750.0,32389.394,22815.1,21610.0,238.7288,-6.8,47.8,4.6,41.0,3.0,10270.706,47.1,8.94,11.91,25.53,116.952,39.9,2.031,9.467,22.898,56.3,-95.1,27.9,2.7975,11.036,230.7442,2.58,-2.2,103.4,104.6,107.047,108.5625,1.91,121.7976,121.798,2.7,8.4
2008,66.7,4.8,840.8251,-14.7,,4867.13,22.78,1.5,4.1,0.06,238.7354,21550.0,32957.884,23623.4,21560.0,238.866,-10.3,51.5,4.9,41.2,4.2,10336.126,50.9,9.17,-7.31,23.28,116.278,40.3,10.323,9.434,23.485,64.1,-76.8,28.0,1.3679,11.0609,234.133,1.47,-5.4,115.0,110.9,108.7912,109.3712,-1.11,120.4484,120.448,4.6,7.8
2009,67.4,5.17,850.2904,-11.0,65.4,4836.0,18.73,1.5,2.4,-4.12,234.3226,21100.0,31698.251,22620.2,20620.0,229.0265,-15.4,54.8,5.1,39.4,1.3,10148.379,52.9,11.12,-13.26,20.44,113.551,40.7,9.617,9.528,14.927,65.6,-88.7,28.2,-2.9015,11.0947,234.3591,0.1,-10.3,118.5,128.5,111.4565,111.3216,-3.35,116.4141,116.414,6.8,9.8
