institution,variable,year,value,vintage,entry_method
Bank of Greece,current_account_pct_gdp,2026,-6.2,BoG 2026-07-17,manual
Bank of Greece,current_account_pct_gdp,2027,-5.8,BoG 2026-07-17,manual
Bank of Greece,current_account_pct_gdp,2028,-5.6,BoG 2026-07-17,manual
European Commission,current_account_pct_gdp,2026,-7.08559,EC Spring 2026,api
European Commission,current_account_pct_gdp,2027,-6.1206,EC Spring 2026,api
IMF WEO,current_account_pct_gdp,2026,-6.4,World Economic Outlook (April 2026),api
IMF WEO,current_account_pct_gdp,2027,-5.7,World Economic Outlook (April 2026),api
IMF WEO,current_account_pct_gdp,2028,-5.0,World Economic Outlook (April 2026),api
IMF WEO,current_account_pct_gdp,2029,-4.5,World Economic Outlook (April 2026),api
IMF WEO,current_account_pct_gdp,2030,-4.2,World Economic Outlook (April 2026),api
IMF WEO,current_account_pct_gdp,2031,-4.0,World Economic Outlook (April 2026),api
OECD,current_account_pct_gdp,2026,-6.66684,OECD EO119 (June 2026),api
OECD,current_account_pct_gdp,2027,-5.9879,OECD EO119 (June 2026),api
Eurostat EUROPOP2023,fertility_rate,2026,1.423,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2027,1.427,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2028,1.43,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2029,1.434,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2030,1.438,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2031,1.441,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2035,1.455,EUROPOP2023,api
Eurostat EUROPOP2023,fertility_rate,2040,1.47,EUROPOP2023,api
Bank of Greece,gdp_growth,2026,1.9,BoG 2026-07-17,manual
Bank of Greece,gdp_growth,2027,1.9,BoG 2026-07-17,manual
Bank of Greece,gdp_growth,2028,2.0,BoG 2026-07-17,manual
European Commission,gdp_growth,2026,1.79,EC Spring 2026,api
European Commission,gdp_growth,2027,1.6,EC Spring 2026,api
IMF WEO,gdp_growth,2026,1.8,World Economic Outlook (April 2026),api
IMF WEO,gdp_growth,2027,1.7,World Economic Outlook (April 2026),api
IMF WEO,gdp_growth,2028,1.6,World Economic Outlook (April 2026),api
IMF WEO,gdp_growth,2029,1.6,World Economic Outlook (April 2026),api
IMF WEO,gdp_growth,2030,1.6,World Economic Outlook (April 2026),api
IMF WEO,gdp_growth,2031,1.6,World Economic Outlook (April 2026),api
MinFin MTFSP 2025-28,gdp_growth,2026,2.0,MinFin MTFSP 2024-10,manual
MinFin MTFSP 2025-28,gdp_growth,2027,1.5,MinFin MTFSP 2024-10,manual
MinFin MTFSP 2025-28,gdp_growth,2028,1.3,MinFin MTFSP 2024-10,manual
Ministry of Finance,gdp_growth,2026,2.0,MinFin APR 2026-04,manual
OECD,gdp_growth,2026,1.87633,OECD EO119 (June 2026),api
OECD,gdp_growth,2027,2.04175,OECD EO119 (June 2026),api
IMF WEO,gdp_pc_ppp_usd,2026,47174.6,World Economic Outlook (April 2026),api
IMF WEO,gdp_pc_ppp_usd,2027,49084.646,World Economic Outlook (April 2026),api
IMF WEO,gdp_pc_ppp_usd,2028,50763.257,World Economic Outlook (April 2026),api
IMF WEO,gdp_pc_ppp_usd,2029,52572.415,World Economic Outlook (April 2026),api
IMF WEO,gdp_pc_ppp_usd,2030,54477.053,World Economic Outlook (April 2026),api
IMF WEO,gdp_pc_ppp_usd,2031,56517.03,World Economic Outlook (April 2026),api
European Commission,gg_balance_pct_gdp,2026,0.79088,EC Spring 2026,api
European Commission,gg_balance_pct_gdp,2027,0.56339,EC Spring 2026,api
IMF WEO,gg_balance_pct_gdp,2026,0.6,World Economic Outlook (April 2026),api
IMF WEO,gg_balance_pct_gdp,2027,-0.2,World Economic Outlook (April 2026),api
IMF WEO,gg_balance_pct_gdp,2028,-0.2,World Economic Outlook (April 2026),api
IMF WEO,gg_balance_pct_gdp,2029,-0.5,World Economic Outlook (April 2026),api
IMF WEO,gg_balance_pct_gdp,2030,-0.6,World Economic Outlook (April 2026),api
IMF WEO,gg_balance_pct_gdp,2031,-0.7,World Economic Outlook (April 2026),api
MinFin MTFSP 2025-28,gg_balance_pct_gdp,2026,-0.8,MinFin MTFSP 2024-10,manual
MinFin MTFSP 2025-28,gg_balance_pct_gdp,2027,-1.1,MinFin MTFSP 2024-10,manual
MinFin MTFSP 2025-28,gg_balance_pct_gdp,2028,-1.2,MinFin MTFSP 2024-10,manual
Ministry of Finance,gg_balance_pct_gdp,2026,0.2,MinFin APR 2026-04,manual
OECD,gg_balance_pct_gdp,2026,-0.18892,OECD EO119 (June 2026),api
OECD,gg_balance_pct_gdp,2027,-0.2167,OECD EO119 (June 2026),api
OECD,gg_gross_financial_liabilities_pct_gdp,2026,151.97649,OECD EO119 (June 2026),api
OECD,gg_gross_financial_liabilities_pct_gdp,2027,145.92334,OECD EO119 (June 2026),api
Bank of Greece,hicp_inflation,2026,3.8,BoG 2026-07-17,manual
Bank of Greece,hicp_inflation,2027,2.6,BoG 2026-07-17,manual
Bank of Greece,hicp_inflation,2028,2.3,BoG 2026-07-17,manual
European Commission,hicp_inflation,2026,3.72,EC Spring 2026,api
European Commission,hicp_inflation,2027,2.41,EC Spring 2026,api
IMF WEO,hicp_inflation,2026,3.5,World Economic Outlook (April 2026),api
IMF WEO,hicp_inflation,2027,2.7,World Economic Outlook (April 2026),api
